city,luas_bangunan_m2,luas_tanah_m2,jumlah_kamar_tidur,jumlah_kamar_mandi,carport,tahun_dibangun,sertifikat,kondisi,latitude,longitude,harga,title,lokasi,url,source,scraped_at
Jakarta Barat,84.0,50.0,2.0,2.0,2.0,,,Baru,,,1650000000.0,"Rumah Baru 3 Lantai Akses Jalan Lebar 3 Mobil, Lokasi Bagus dan Mudah di Jangkau",Meruya,https://www.rumah123.com/properti/jakarta-barat-meruya/rumah-baru-3-lantai-akses-jalan-lebar-3-mobil-lokasi-bagus-dan-mudah-di-jangkau-hos41207955/,rumah123_playwright,2026-04-19T10:50:34.411692
Jakarta Barat,188.0,74.0,4.0,5.0,2.0,,,,,,3500000000.0,Ana Rumah di Kav Polri Luas 4.65X16m 3.5Lt Lingkungan Jelambar - * Good- Deal !!*,Jelambar,https://www.rumah123.com/properti/jakarta-barat-jelambar/ana-rumah-di-kav-polri-luas-465x16m-35lt-lingkungan-jelambar-good-deal-hos41418302/,rumah123_playwright,2026-04-19T10:50:40.671350
Jakarta Selatan,80.0,70.0,3.0,3.0,2.0,,,Baru,,,1400000000.0,Rumah Minimalis Strategis Selangkah ke Gerbang Tol,Jagakarsa,https://www.rumah123.com/properti/jakarta-selatan-jagakarsa/rumah-minimalis-nempel-jagakarta-selangkah-ke-gerbang-tol-hos40086058/,rumah123_playwright,2026-04-19T10:50:49.389428
Jakarta Timur,180.0,105.0,5.0,5.0,2.0,,,Baru,,,5400000000.0,Hunian Mewah Nyaman Cocok untuk Keluarga Punya 5 Kamar Dilengkapi Fasilitas Lengkap,Rawamangun,https://www.rumah123.com/properti/jakarta-timur-rawamangun/hunian-mewah-nyaman-cocok-untuk-keluarga-punya-5-kamar-dilengkapi-fasilitas-lengkap-hos40852702/,rumah123_playwright,2026-04-19T10:51:12.068778
Jakarta Barat,84.0,50.0,2.0,2.0,2.0,,,Baru,,,1650000000.0,"Rumah Baru 3 Lantai Akses Jalan Lebar 3 Mobil, Lokasi Bagus dan Mudah di Jangkau",Meruya,https://www.rumah123.com/properti/jakarta-barat-meruya/rumah-baru-3-lantai-akses-jalan-lebar-3-mobil-lokasi-bagus-dan-mudah-di-jangkau-hos41207955/,rumah123_playwright,2026-04-19T10:51:19.347780
Jakarta Barat,188.0,74.0,4.0,5.0,2.0,,,,,,3500000000.0,Ana Rumah di Kav Polri Luas 4.65X16m 3.5Lt Lingkungan Jelambar - * Good- Deal !!*,Jelambar,https://www.rumah123.com/properti/jakarta-barat-jelambar/ana-rumah-di-kav-polri-luas-465x16m-35lt-lingkungan-jelambar-good-deal-hos41418302/,rumah123_playwright,2026-04-19T10:51:25.540368
Jakarta Selatan,80.0,70.0,3.0,3.0,2.0,,,Baru,,,1400000000.0,Rumah Minimalis Strategis Selangkah ke Gerbang Tol,Jagakarsa,https://www.rumah123.com/properti/jakarta-selatan-jagakarsa/rumah-minimalis-nempel-jagakarta-selangkah-ke-gerbang-tol-hos40086058/,rumah123_playwright,2026-04-19T10:51:34.573635
Jakarta Selatan,125.0,70.0,4.0,3.0,4.0,,,Baru,,,990000000.0,Rumah Furnished 4 Kamar Tidur di Selatan Jakarta,Jagakarsa,https://www.rumah123.com/properti/jakarta-selatan-jagakarsa/rumah-furnished-4-kamar-tidur-di-selatan-jakarta-hos39761056/,rumah123_playwright,2026-04-19T10:51:44.399283
Jakarta Selatan,160.0,82.0,5.0,4.0,2.0,,,Baru,,,1690000000.0,Rumah Mewah Siap Huni Dalam Komplek Nyaman Asri,Jagakarsa,https://www.rumah123.com/properti/jakarta-selatan-jagakarsa/rumah-mewah-siap-huni-dalam-komplek-nyaman-asri-hos40679849/,rumah123_playwright,2026-04-19T10:51:56.586423
Jakarta Barat,84.0,92.0,3.0,3.0,2.0,,,Baru,,,2300000000.0,"Unit Baru di Hook!! Fleksibilitas Desain, Program Spesial Pembelian, Skema Cicilan Dp Selama Masa Inden",Meruya,https://www.rumah123.com/properti/jakarta-barat-meruya/unit-baru-di-hook-fleksibilitas-desain-program-spesial-pembelian-skema-cicilan-dp-selama-masa-inden-hos40685271/,rumah123_playwright,2026-04-19T10:52:03.155370
Jakarta Barat,140.0,100.0,4.0,4.0,2.0,,,Baru,,,2200000000.0,Rumah Baru bisa KPR Uk 5X20 / Free Kompor / Akses Mudah di Jangkau,Meruya,https://www.rumah123.com/properti/jakarta-barat-meruya/rumah-baru-bisa-kpr-uk-5x20-free-kompor-akses-mudah-di-jangkau-hos41328100/,rumah123_playwright,2026-04-19T10:52:09.067605
Jakarta Barat,200.0,160.0,5.0,3.0,2.0,,,Siap Huni,,,3500000000.0,Tomang Rumah Siap Huni Ini Cocok untuk Keluarga yang Ingin Tinggal di Area Kota,Tomang,https://www.rumah123.com/properti/jakarta-barat-tomang/tomang-rumah-ini-cocok-untuk-keluarga-yang-ingin-tinggal-di-area-kota-tanpa-kehilangan-ketenangan-hos40708494/,rumah123_playwright,2026-04-19T10:52:17.756075
Jakarta Utara,127.0,90.0,4.0,4.0,,,,,,,3300000000.0,Rumah Brand New Pasir Putih Residence Cluster Okinawa 6X15,Pantai Indah Kapuk 2,https://www.rumah123.com/properti/jakarta-utara-pantai-indah-kapuk-2/rumah-brand-new-pasir-putih-residence-cluster-okinawa-6x15-hos41370654/,rumah123_playwright,2026-04-19T10:52:23.444262
Jakarta Utara,180.0,105.0,5.0,5.0,4.0,,,Baru,,,5400000000.0,Hunian Elit Premium 5 Kamar Dijual Kondisi Baru di Jakarta Dilengkapi Fasilitas Lengkap,Kelapa Gading,https://www.rumah123.com/properti/jakarta-utara-kelapa-gading/hunian-elit-premium-5-kamar-dijual-kondisi-baru-di-jakarta-dilengkapi-fasilitas-lengkap-hos40862645/,rumah123_playwright,2026-04-19T10:52:31.625629
Jakarta Barat,140.0,125.0,3.0,3.0,2.0,,,Baru,,,2550000000.0,Rumah Baru bisa Kpr/ Uk 5X25 Mtr / Bangunan 2 Lantai / Akses Jalan 2 Mobil Lega,Meruya,https://www.rumah123.com/properti/jakarta-barat-meruya/meruya-rumah-inden-bangun-bonus-pembelian-lewat-paraland-property-hos38937612/,rumah123_playwright,2026-04-19T10:52:38.848401
Jakarta Utara,125.0,102.0,3.0,1.0,1.0,,,Siap Huni,,,2550000000.0,Dijual Cepat Rumah Siap Huni Janur Asri,Kelapa Gading,https://www.rumah123.com/properti/jakarta-utara-kelapa-gading/dijual-cepat-rumah-siap-huni-janur-asri-hos41396148/,rumah123_playwright,2026-04-19T10:52:45.041701
Jakarta Barat,100.0,80.0,3.0,3.0,2.0,,,Baru,,,1900000000.0,Rumah Baru Lebar Jalan 2 Mobil Lokasi Bagus dalam Komplek,Meruya,https://www.rumah123.com/properti/jakarta-barat-meruya/rumah-baru-lebar-jalan-2-mobil-lokasi-bagus-dalam-komplek-hos40331111/,rumah123_playwright,2026-04-19T10:52:51.788630
Jakarta Barat,312.0,200.0,4.0,3.0,4.0,,,Siap Huni,,,7500000000.0,"Termurah untuk Luas Tanah 200m di Permata Buana, Jalan Lebar dan akses mudah di jangkau",Permata Buana,https://www.rumah123.com/properti/jakarta-barat-permata-buana/termurah-untuk-luas-tanah-200m-di-permata-buana-jalan-lebar-dan-akses-mudah-di-jangkau-hos39191428/,rumah123_playwright,2026-04-19T10:52:59.598916
Jakarta Barat,460.0,144.0,6.0,5.0,3.0,,,Baru,,,9970000000.0,"Brand New Modern Minimalist Lokasi Bagus Jalan Lebar, Mudah di Jangkau",Permata Buana,https://www.rumah123.com/properti/jakarta-barat-permata-buana/brand-new-modern-minimalist-lokasi-bagus-jalan-lebar-mudah-di-jangkau-hos40464755/,rumah123_playwright,2026-04-19T10:53:08.143435
Jakarta Timur,180.0,105.0,5.0,5.0,4.0,,,Baru,,,5400000000.0,Rumah Mewah di Jaktim Akses Mudah dengan Fasilitas Sangat Lengkap 3 Lantai,Cakung,https://www.rumah123.com/properti/jakarta-timur-cakung/rumah-mewah-di-jaktim-akses-mudah-dengan-fasilitas-sangat-lengkap-3-lantai-hos40855356/,rumah123_playwright,2026-04-19T10:53:16.518274
Jakarta Barat,391.0,253.0,7.0,3.0,3.0,,SHM,Siap Huni,,,7000000000.0,Rumah 11.5X22 Pinggir Jalan Kemanggisan Jakarta Barat,Kemanggisan,https://www.rumah123.com/properti/jakarta-barat-kemanggisan/rumah-115x22-pinggir-jalan-kemanggisan-jakarta-barat-hos41428109/,rumah123_playwright,2026-04-19T10:53:25.112649
Jakarta Utara,1000.0,522.0,5.0,8.0,7.0,,SHM,Siap Huni,,,37900000000.0,Rumah Mewah Pik Lotus Palace Harga Murah Siap Huni,Pantai Indah Kapuk,https://www.rumah123.com/properti/jakarta-utara-pantai-indah-kapuk/rumah-mewah-pik-lotus-palace-harga-murah-siap-huni-hos17025880/,rumah123_playwright,2026-04-19T10:53:33.813821
Jakarta Barat,260.0,128.0,6.0,6.0,2.0,,SHM,Baru,,,3800000000.0,Rumah Baru Citra Harga Bagus Siap Huni bisa KPR,Citra Garden,https://www.rumah123.com/properti/jakarta-barat-citra-garden/rumah-baru-citra-harga-bagus-siap-huni-bisa-kpr-hos40889774/,rumah123_playwright,2026-04-19T10:53:40.765879
Jakarta Barat,260.0,128.0,6.0,6.0,2.0,,SHM,Baru,,,3800000000.0,Rumah Baru Citra Harga Bagus Siap Huni bisa KPR,Citra Garden,https://www.rumah123.com/properti/jakarta-barat-citra-garden/rumah-baru-citra-harga-bagus-siap-huni-bisa-kpr-hos40889774/,rumah123_playwright,2026-04-19T10:53:59.284075
Jakarta Utara,600.0,450.0,7.0,7.0,4.0,,,Bagus,,,27000000000.0,Rumah Mediterania Resort Harga Murah Lokasi Bagus Jarang Ada,Pantai Indah Kapuk,https://www.rumah123.com/properti/jakarta-utara-pantai-indah-kapuk/rumah-mediterania-resort-harga-murah-lokasi-bagus-jarang-ada-hos18111157/,rumah123_playwright,2026-04-19T10:54:06.059341
Jakarta Barat,120.0,105.0,5.0,4.0,2.0,,HGB,Siap Huni,,,4300000000.0,Rumah Citra Garden Murah Siap Huni Harga Murah Miring,Citra Garden,https://www.rumah123.com/properti/jakarta-barat-citra-garden/rumah-citra-garden-murah-siap-huni-harga-murah-miring-hos41395412/,rumah123_playwright,2026-04-19T10:54:12.924366
Jakarta Pusat,375.0,76.0,4.0,4.0,4.0,,,Baru,,,6900000000.0,For Sale Rumah Mewah 4 Lantai Baru Dekat Kuningan SCBD Strategis Jarang Ada,Menteng,https://www.rumah123.com/properti/jakarta-pusat-menteng/for-sale-rumah-mewah-4-lantai-baru-dekat-kuningan-scbd-strategis-jarang-ada-hos39637577/,rumah123_playwright,2026-04-19T10:54:20.587867
Jakarta Selatan,130.0,90.0,4.0,4.0,1.0,,,Siap Huni,,,1980000000.0,Rumah Cluster Jagakarsa Harga Terbaik,Jagakarsa,https://www.rumah123.com/properti/jakarta-selatan-jagakarsa/rumah-cluster-jagakarsa-harga-terbaik-hos41293226/,rumah123_playwright,2026-04-19T10:54:28.376477
Jakarta Selatan,253.0,752.0,6.0,7.0,4.0,,,,,,13500000000.0,Rumah Luas Area Mewah Cilandak Harga Nego,Cilandak,https://www.rumah123.com/properti/jakarta-selatan-cilandak/rumah-luas-area-mewah-cilandak-harga-nego-hos14057850/,rumah123_playwright,2026-04-19T10:54:37.431917
Jakarta Selatan,160.0,201.0,5.0,5.0,2.0,,,Siap Huni,,,3600000000.0,Rumah Hook Drkat Jalan Benda Jagakarsa Harga Siap Nego Siap Huni,Jagakarsa,https://www.rumah123.com/properti/jakarta-selatan-jagakarsa/rumah-hook-drkat-jalan-benda-jagakarsa-harga-siap-nego-siap-huni-hos41150771/,rumah123_playwright,2026-04-19T10:54:46.886614
Jakarta Selatan,375.0,76.0,4.0,4.0,4.0,,,Baru,,,6900000000.0,For Sale Rumah Mewah Kondisi Baru di Tengah Jaksel 4 Lantai,Pondok Indah,https://www.rumah123.com/properti/jakarta-selatan-pondok-indah/for-sale-rumah-mewah-kondisi-baru-di-tengah-jaksel-4-lantai-hos39637147/,rumah123_playwright,2026-04-19T10:54:54.612150
Jakarta Timur,180.0,105.0,5.0,5.0,2.0,,,Baru,,,5400000000.0,Hunian Elit di Jakarta Dekat Akses Toll dan Sekolah Punya Fasilitas Bintang Lima,Jakarta Garden City,https://www.rumah123.com/properti/jakarta-timur-jakarta-garden-city/hunian-elit-di-jakarta-dekat-akses-toll-dan-sekolah-punya-fasilitas-bintang-lima-hos40852812/,rumah123_playwright,2026-04-19T10:55:04.970661
